id,original_label,reason
15491,0,verified exact normalized name+description conflict group
15618,0,verified exact normalized name+description conflict group
15631,0,verified exact normalized name+description conflict group
15658,0,verified exact normalized name+description conflict group
16409,0,verified exact normalized name+description conflict group
16477,0,verified exact normalized name+description conflict group
16744,0,verified exact normalized name+description conflict group
17155,0,verified exact normalized name+description conflict group
17498,0,verified exact normalized name+description conflict group
18040,0,verified exact normalized name+description conflict group
18325,0,verified exact normalized name+description conflict group
163,1,verified exact normalized name+description conflict group
179,1,verified exact normalized name+description conflict group
195,1,verified exact normalized name+description conflict group
251,1,verified exact normalized name+description conflict group
351,1,verified exact normalized name+description conflict group
440,1,verified exact normalized name+description conflict group
514,1,verified exact normalized name+description conflict group
932,1,verified exact normalized name+description conflict group
1774,1,verified exact normalized name+description conflict group
1925,1,verified exact normalized name+description conflict group
2342,1,verified exact normalized name+description conflict group
2491,1,verified exact normalized name+description conflict group
2661,1,verified exact normalized name+description conflict group
2965,1,verified exact normalized name+description conflict group
3061,1,verified exact normalized name+description conflict group
3408,1,verified exact normalized name+description conflict group
3436,1,verified exact normalized name+description conflict group
3804,1,verified exact normalized name+description conflict group
3844,1,verified exact normalized name+description conflict group
4032,1,verified exact normalized name+description conflict group
4048,1,verified exact normalized name+description conflict group
4256,1,verified exact normalized name+description conflict group
4541,1,verified exact normalized name+description conflict group
4594,1,verified exact normalized name+description conflict group
4639,1,verified exact normalized name+description conflict group
4726,1,verified exact normalized name+description conflict group
4756,1,verified exact normalized name+description conflict group
4960,1,verified exact normalized name+description conflict group
4965,1,verified exact normalized name+description conflict group
4967,1,verified exact normalized name+description conflict group
5023,1,verified exact normalized name+description conflict group
5067,1,verified exact normalized name+description conflict group
5322,1,verified exact normalized name+description conflict group
5485,1,verified exact normalized name+description conflict group
6151,1,verified exact normalized name+description conflict group
6278,1,verified exact normalized name+description conflict group
6437,1,verified exact normalized name+description conflict group
6551,1,verified exact normalized name+description conflict group
6764,1,verified exact normalized name+description conflict group
6894,1,verified exact normalized name+description conflict group
7027,1,verified exact normalized name+description conflict group
7147,1,verified exact normalized name+description conflict group
7176,1,verified exact normalized name+description conflict group
7208,1,verified exact normalized name+description conflict group
7276,1,verified exact normalized name+description conflict group
7406,1,verified exact normalized name+description conflict group
7485,1,verified exact normalized name+description conflict group
7612,1,verified exact normalized name+description conflict group
7718,1,verified exact normalized name+description conflict group
7966,1,verified exact normalized name+description conflict group
8058,1,verified exact normalized name+description conflict group
8114,1,verified exact normalized name+description conflict group
8870,1,verified exact normalized name+description conflict group
8884,1,verified exact normalized name+description conflict group
9110,1,verified exact normalized name+description conflict group
9144,1,verified exact normalized name+description conflict group
9492,1,verified exact normalized name+description conflict group
9658,1,verified exact normalized name+description conflict group
9715,1,verified exact normalized name+description conflict group
9814,1,verified exact normalized name+description conflict group
9968,1,verified exact normalized name+description conflict group
10101,1,verified exact normalized name+description conflict group
10336,1,verified exact normalized name+description conflict group
10343,1,verified exact normalized name+description conflict group
10540,1,verified exact normalized name+description conflict group
10560,1,verified exact normalized name+description conflict group
10758,1,verified exact normalized name+description conflict group
10869,1,verified exact normalized name+description conflict group
10952,1,verified exact normalized name+description conflict group
11180,1,verified exact normalized name+description conflict group
11182,1,verified exact normalized name+description conflict group
11214,1,verified exact normalized name+description conflict group
11273,1,verified exact normalized name+description conflict group
11371,1,verified exact normalized name+description conflict group
11503,1,verified exact normalized name+description conflict group
12138,1,verified exact normalized name+description conflict group
12412,1,verified exact normalized name+description conflict group
12442,1,verified exact normalized name+description conflict group
12643,1,verified exact normalized name+description conflict group
12652,1,verified exact normalized name+description conflict group
12654,1,verified exact normalized name+description conflict group
12766,1,verified exact normalized name+description conflict group
12950,1,verified exact normalized name+description conflict group
13395,1,verified exact normalized name+description conflict group
13451,1,verified exact normalized name+description conflict group
13473,1,verified exact normalized name+description conflict group
13618,1,verified exact normalized name+description conflict group
13886,1,verified exact normalized name+description conflict group
13909,1,verified exact normalized name+description conflict group
14622,1,verified exact normalized name+description conflict group
14625,1,verified exact normalized name+description conflict group
14810,1,verified exact normalized name+description conflict group
14887,1,verified exact normalized name+description conflict group
15095,1,verified exact normalized name+description conflict group
15163,1,verified exact normalized name+description conflict group
15392,1,verified exact normalized name+description conflict group
15498,1,verified exact normalized name+description conflict group
15590,1,verified exact normalized name+description conflict group
16005,1,verified exact normalized name+description conflict group
16055,1,verified exact normalized name+description conflict group
16232,1,verified exact normalized name+description conflict group
16293,1,verified exact normalized name+description conflict group
16389,1,verified exact normalized name+description conflict group
16554,1,verified exact normalized name+description conflict group
16646,1,verified exact normalized name+description conflict group
16696,1,verified exact normalized name+description conflict group
16967,1,verified exact normalized name+description conflict group
17047,1,verified exact normalized name+description conflict group
17063,1,verified exact normalized name+description conflict group
17119,1,verified exact normalized name+description conflict group
17130,1,verified exact normalized name+description conflict group
17427,1,verified exact normalized name+description conflict group
17544,1,verified exact normalized name+description conflict group
17714,1,verified exact normalized name+description conflict group
17841,1,verified exact normalized name+description conflict group
17889,1,verified exact normalized name+description conflict group
17958,1,verified exact normalized name+description conflict group
18053,1,verified exact normalized name+description conflict group
18257,1,verified exact normalized name+description conflict group
18371,1,verified exact normalized name+description conflict group
